ContactName,Delete_Contact,Rename_Contact,Comments,Delete_FiveToneCalls,FiveToneCalls-S5CLDLL_5TTELEGRAM,FiveToneCalls-S5CLDLL_5TCALLADD,Delete_MDCCalls,MDCCalls-AU_CALLLSTID,MDCCalls-AU_MDCSYS,MDCCalls-AU_RVRTPERS_Zone,MDCCalls-AU_RVRTPERS,MDCCalls-AU_SPTPLDPL,MDCCalls-AU_CALLTYPE,Delete_QuikCallIICalls,QuikCallIICalls-QU_QCIISYS,QuikCallIICalls-QU_RVRTPERS_Zone,QuikCallIICalls-QU_RVRTPERS,QuikCallIICalls-QU_CALLFORMAT,QuikCallIICalls-QU_TONEATXFRE,QuikCallIICalls-QU_CODEA,QuikCallIICalls-QU_TONEBTXFRE,QuikCallIICalls-QU_CODEB,QuikCallIICalls-QU_STRIPPLDPL,Delete_DigitalCalls,DigitalCalls-DU_CALLLSTID,DigitalCalls-DU_ROUTETYPE,DigitalCalls-DU_CALLPRCDTNEN,DigitalCalls-DU_RINGTYPE,DigitalCalls-DU_TXTMSGALTTNTP,DigitalCalls-DU_CALLTYPE,DigitalCalls-DU_OVCMCALL,Delete_CapacityPlusCalls,CapacityPlusCalls-CAPPLUSUCL_CALLLSTID,CapacityPlusCalls-CAPPLUSUCL_ROUTETYPE,CapacityPlusCalls-CAPPLUSUCL_CALLPRCDTNEN,CapacityPlusCalls-CAPPLUSUCL_RINGTYPE,CapacityPlusCalls-CAPPLUSUCL_TXTMSGALTTNTP,CapacityPlusCalls-CAPPLUSUCL_CALLTYPE,Delete_PhoneCalls,PhoneCalls-PHNUCLELL_CALLID,PhoneCalls-PHNUCLELL_RINGTYPE
Contact Name,Delete_Contact,Rename_Contact,Comments,Delete_FiveToneCalls,Five Tone Calls - Telegram,Five Tone Calls - Address,Delete_MDCCalls,MDC Calls - Call ID (Hex),MDC Calls - MDC System,MDC Calls - Revert Channel Zone,MDC Calls - Revert Channel,MDC Calls - Strip TPL/DPL,MDC Calls - Call Type,Delete_QuikCallIICalls,Quik CallII Calls - Quik-Call II System,Quik CallII Calls - Revert Channel Zone,Quik CallII Calls - Revert Channel,Quik CallII Calls - Call Format,Quik CallII Calls - Tone A Freq (Hz),Quik CallII Calls - Tone A Code,Quik CallII Calls - Tone B Freq (Hz),Quik CallII Calls - Tone B Code,Quik CallII Calls - Strip TPL/DPL,Delete_DigitalCalls,Digital Calls - Call ID,Digital Calls - Route Type,Digital Calls - Call Receive Tone,Digital Calls - Ring Style,Digital Calls - Text Message Alert Tone,Digital Calls - Call Type,Digital Calls - DU_OVCMCALL,Delete_CapacityPlusCalls,Capacity Plus Calls - Call ID,Capacity Plus Calls - Route Type,Capacity Plus Calls - Call Receive Tone,Capacity Plus Calls - Ring Style,Capacity Plus Calls - Text Message Alert Tone,Capacity Plus Calls - Call Type,Delete_PhoneCalls,Phone Calls - Number,Phone Calls - Ring Type
6KAF,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025131,,True,No Style,,Private Call,False,False,,,,,,,False,,
6AKP,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025132,,True,No Style,,Private Call,False,False,,,,,,,False,,
6MDP,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025133,,True,No Style,,Private Call,False,False,,,,,,,False,,
6ASD,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025134,,True,No Style,,Private Call,False,False,,,,,,,False,,
6ACX,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025136,,True,No Style,,Private Call,False,False,,,,,,,False,,
6AKJ,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025137,,True,No Style,,Private Call,False,False,,,,,,,False,,
6XNY,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025138,,True,No Style,,Private Call,False,False,,,,,,,False,,
6THE,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025139,,True,No Style,,Private Call,False,False,,,,,,,False,,
6HXJ,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025140,,True,No Style,,Private Call,False,False,,,,,,,False,,
6MHM,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025141,,True,No Style,,Private Call,False,False,,,,,,,False,,
6NRH,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025142,,True,No Style,,Private Call,False,False,,,,,,,False,,
6TKR,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025143,,True,No Style,,Private Call,False,False,,,,,,,False,,
6AMT,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025144,,True,No Style,,Private Call,False,False,,,,,,,False,,
6BXR,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025145,,True,No Style,,Private Call,False,False,,,,,,,False,,
6HQN,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025146,,True,No Style,,Private Call,False,False,,,,,,,False,,
6AXR,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025147,,True,No Style,,Private Call,False,False,,,,,,,False,,
6THO,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025148,,True,No Style,,Private Call,False,False,,,,,,,False,,
6HRN,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025149,,True,No Style,,Private Call,False,False,,,,,,,False,,
6SYP,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025150,,True,No Style,,Private Call,False,False,,,,,,,False,,
6DBG,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025151,,True,No Style,,Private Call,False,False,,,,,,,False,,
6BCC,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025152,,True,No Style,,Private Call,False,False,,,,,,,False,,
6MEG,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025153,,True,No Style,,Private Call,False,False,,,,,,,False,,
6DKA,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025154,,True,No Style,,Private Call,False,False,,,,,,,False,,
6AMC,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025155,,True,No Style,,Private Call,False,False,,,,,,,False,,
6IWB,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025156,,True,No Style,,Private Call,False,False,,,,,,,False,,
6AFS,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025157,,True,No Style,,Private Call,False,False,,,,,,,False,,
6BDU,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025158,,True,No Style,,Private Call,False,False,,,,,,,False,,
6BEY,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025159,,True,No Style,,Private Call,False,False,,,,,,,False,,
6AFM,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025160,,True,No Style,,Private Call,False,False,,,,,,,False,,
6AHK,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025161,,True,No Style,,Private Call,False,False,,,,,,,False,,
6BCE,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025162,,True,No Style,,Private Call,False,False,,,,,,,False,,
6TZH,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025163,,True,No Style,,Private Call,False,False,,,,,,,False,,
6SFD,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025164,,True,No Style,,Private Call,False,False,,,,,,,False,,
6UFZ,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025165,,True,No Style,,Private Call,False,False,,,,,,,False,,
6BYQ,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025166,,True,No Style,,Private Call,False,False,,,,,,,False,,
6DYS,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025167,,True,No Style,,Private Call,False,False,,,,,,,False,,
6BBH,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025168,,True,No Style,,Private Call,False,False,,,,,,,False,,
